"#","sex  ","  age","address  ","pstatus  ","  medu","mjob    ","  fedu","fjob    ","guardian  ","famsize  ","  famrel","reason    ","  traveltime","  studytime","  failures","schoolsup  ","famsup  ","activities  ","paidclass  ","internet  ","  freetime","  walc","  dalc","  health","  absences","  mean"
"156","M    ","   20","U        ","T        ","     3","other   ","     3","health  ","father    ","GT3      ","       4","reputation","           2","          3","         1","no         ","yes     ","yes         ","yes        ","yes       ","         3","     1","     3","       3","         1","    59"
"157","F    ","   21","R        ","T        ","     2","health  ","     0","other   ","other     ","GT3      ","       4","reputation","           3","          2","         2","yes        ","no      ","no          ","yes        ","yes       ","         3","     2","     3","       1","        26","    69"
"158","F    ","   15","R        ","T        ","     2","health  ","     3","teacher ","mother    ","GT3      ","       3","course    ","           1","          2","         2","no         ","yes     ","no          ","yes        ","yes       ","         2","     4","     3","       2","        59","    82"
"159","M    ","   20","R        ","T        ","     3","teacher ","     2","services","other     ","LE3      ","       2","course    ","           2","          2","         1","no         ","yes     ","no          ","no         ","yes       ","         4","     4","     2","       3","        28","    94"
"160","F    ","   16","U        ","T        ","     1","health  ","     2","services","father    ","LE3      ","       2","course    ","           3","          1","         3","yes        ","no      ","no          ","no         ","no        ","         4","     3","     4","       3","        25","     9"
"161","M    ","   18","U        ","T        ","     0","at_home ","     3","services","other     ","GT3      ","       4","course    ","           3","          1","         1","yes        ","yes     ","yes         ","yes        ","no        ","         2","     2","     3","       4","        22","    49"
"162","M    ","   20","R        ","A        ","     0","at_home ","     0","teacher ","father    ","GT3      ","       3","home      ","           3","          3","         3","no         ","no      ","yes         ","no         ","yes       ","         4","     1","     3","       2","        29","    39"
"163","F    ","   16","R        ","A        ","     0","at_home ","     2","health  ","other     ","GT3      ","       3","home      ","           2","          3","         3","yes        ","no      ","yes         ","no         ","yes       ","         4","     3","     3","       3","        69","    98"
"164","M    ","   16","R        ","T        ","     0","health  ","     2","other   ","other     ","GT3      ","       1","home      ","           1","          2","         2","yes        ","no      ","yes         ","yes        ","no        ","         2","     3","     3","       2","        60","     9"
"165","M    ","   17","U        ","T        ","     0","health  ","     3","teacher ","other     ","LE3      ","       4","other     ","           1","          2","         2","no         ","yes     ","no          ","no         ","yes       ","         3","     1","     4","       2","        69","    60"
"166","M    ","   16","U        ","T        ","     0","teacher ","     0","teacher ","other     ","LE3      ","       1","reputation","           3","          1","         1","no         ","no      ","yes         ","yes        ","no        ","         2","     4","     2","       1","        59","    84"
"167","F    ","   16","U        ","T        ","     3","health  ","     3","teacher ","father    ","GT3      ","       1","home      ","           3","          3","         3","no         ","yes     ","no          ","yes        ","no        ","         4","     2","     2","       4","        70","    40"
"168","M    ","   16","R        ","A        ","     1","services","     0","teacher ","father    ","LE3      ","       3","course    ","           1","          2","         2","yes        ","yes     ","no          ","yes        ","no        ","         2","     4","     2","       1","         1","    99"
"169","F    ","   21","R        ","A        ","     2","health  ","     3","services","other     ","GT3      ","       1","course    ","           3","          1","         1","no         ","no      ","yes         ","no         ","no        ","         4","     3","     4","       1","        89","    27"
"170","F    ","   21","R        ","T        ","     0","health  ","     0","health  ","mother    ","LE3      ","       2","other     ","           1","          2","         3","no         ","yes     ","yes         ","no         ","yes       ","         2","     1","     2","       1","         0","    48"
"171","F    ","   21","R        ","T        ","     3","teacher ","     3","services","other     ","LE3      ","       4","other     ","           2","          2","         1","yes        ","no      ","yes         ","yes        ","yes       ","         2","     4","     3","       3","        61","     8"
"172","F    ","   18","R        ","A        ","     1","at_home ","     1","services","mother    ","LE3      ","       3","reputation","           3","          2","         2","no         ","yes     ","no          ","yes        ","yes       ","         1","     4","     4","       1","        68","    35"
"173","M    ","   19","R        ","T        ","     1","services","     1","at_home ","father    ","LE3      ","       2","course    ","           3","          3","         3","yes        ","no      ","yes         ","no         ","no        ","         2","     3","     3","       3","        75","     5"
"174","M    ","   16","R        ","A        ","     0","services","     3","other   ","other     ","GT3      ","       3","other     ","           2","          1","         2","yes        ","no      ","no          ","no         ","yes       ","         1","     2","     2","       2","        21","    62"
"175","F    ","   15","R        ","T        ","     0","teacher ","     0","health  ","mother    ","GT3      ","       1","other     ","           2","          2","         3","no         ","yes     ","yes         ","no         ","yes       ","         1","     1","     4","       3","        19","    29"
"176","F    ","   20","R        ","T        ","     0","services","     0","other   ","father    ","GT3      ","       1","reputation","           3","          1","         3","no         ","yes     ","yes         ","yes        ","yes       ","         4","     1","     2","       1","         4","    18"
"177","F    ","   19","R        ","T        ","     1","other   ","     1","services","other     ","LE3      ","       1","other     ","           3","          1","         1","no         ","yes     ","yes         ","no         ","yes       ","         2","     4","     4","       1","        44","     0"
"178","F    ","   21","U        ","T        ","     0","health  ","     3","teacher ","mother    ","GT3      ","       4","other     ","           1","          2","         3","no         ","no      ","yes         ","yes        ","no        ","         3","     3","     1","       2","        79","    19"
"179","M    ","   16","R        ","T        ","     2","health  ","     2","services","father    ","LE3      ","       3","reputation","           3","          3","         2","yes        ","no      ","yes         ","no         ","no        ","         1","     1","     2","       4","         2","    17"
"180","F    ","   19","U        ","T        ","     2","services","     0","other   ","other     ","LE3      ","       2","other     ","           1","          1","         1","no         ","yes     ","yes         ","no         ","yes       ","         1","     2","     1","       1","        90","    83"
"181","F    ","   15","R        ","T        ","     3","other   ","     1","services","other     ","LE3      ","       3","course    ","           3","          1","         2","yes        ","no      ","yes         ","no         ","yes       ","         3","     3","     2","       1","        12","    47"
"182","M    ","   18","R        ","A        ","     3","teacher ","     3","other   ","other     ","GT3      ","       3","home      ","           3","          1","         3","no         ","yes     ","no          ","yes        ","yes       ","         4","     2","     4","       1","        41","    64"
"183","M    ","   21","R        ","T        ","     0","health  ","     2","teacher ","father    ","LE3      ","       3","other     ","           3","          3","         1","no         ","yes     ","yes         ","yes        ","no        ","         4","     1","     2","       1","        35","    15"
"184","M    ","   15","R        ","A        ","     2","health  ","     1","at_home ","other     ","GT3      ","       1","home      ","           2","          3","         3","no         ","yes     ","yes         ","yes        ","no        ","         1","     2","     2","       3","        72","    72"
"185","F    ","   18","R        ","A        ","     2","other   ","     1","services","other     ","LE3      ","       3","reputation","           2","          2","         3","no         ","yes     ","yes         ","yes        ","yes       ","         3","     1","     4","       4","        65","    15"
"186","M    ","   18","R        ","T        ","     1","teacher ","     0","teacher ","other     ","GT3      ","       1","reputation","           2","          1","         2","yes        ","no      ","yes         ","no         ","no        ","         4","     1","     4","       3","        22","    29"
"187","F    ","   20","R        ","T        ","     1","other   ","     0","at_home ","other     ","GT3      ","       3","home      ","           2","          3","         1","yes        ","no      ","no          ","no         ","no        ","         3","     2","     2","       3","        88","     9"
"188","F    ","   16","R        ","T        ","     1","at_home ","     0","at_home ","father    ","GT3      ","       1","other     ","           3","          2","         2","yes        ","yes     ","yes         ","no         ","yes       ","         2","     2","     4","       1","        86","    86"
"189","M    ","   20","U        ","T        ","     3","teacher ","     3","services","mother    ","GT3      ","       2","course    ","           3","          3","         3","no         ","no      ","no          ","no         ","yes       ","         3","     1","     3","       4","        62","    70"
"190","F    ","   19","R        ","A        ","     1","services","     1","health  ","father    ","GT3      ","       3","home      ","           2","          1","         3","no         ","no      ","yes         ","yes        ","no        ","         3","     1","     4","       4","        40","    90"
"191","F    ","   19","U        ","A        ","     3","teacher ","     2","other   ","mother    ","GT3      ","       2","home      ","           2","          1","         3","yes        ","no      ","yes         ","no         ","yes       ","         1","     4","     3","       3","        87","    76"
"192","M    ","   21","U        ","T        ","     3","other   ","     3","other   ","father    ","LE3      ","       1","home      ","           2","          3","         1","no         ","no      ","yes         ","no         ","no        ","         4","     3","     3","       4","        74","    48"
"193","F    ","   17","U        ","T        ","     3","services","     0","teacher ","mother    ","LE3      ","       3","other     ","           1","          3","         1","yes        ","no      ","no          ","yes        ","yes       ","         2","     2","     3","       1","        52","    13"
"194","M    ","   16","U        ","A        ","     3","at_home ","     1","services","other     ","GT3      ","       4","reputation","           2","          1","         1","no         ","no      ","no          ","no         ","no        ","         4","     3","     4","       2","         8","    94"
"195","M    ","   17","R        ","A        ","     1","services","     2","health  ","father    ","LE3      ","       2","course    ","           2","          3","         1","no         ","yes     ","no          ","yes        ","yes       ","         2","     1","     4","       2","        17","    66"
"196","F    ","   16","R        ","A        ","     3","at_home ","     1","health  ","father    ","GT3      ","       1","other     ","           2","          3","         1","no         ","yes     ","yes         ","no         ","yes       ","         3","     2","     4","       4","        19","    95"
"197","M    ","   20","U        ","A        ","     2","health  ","     3","other   ","father    ","LE3      ","       1","other     ","           2","          1","         2","yes        ","yes     ","yes         ","yes        ","yes       ","         3","     2","     1","       3","        52","    30"
"198","M    ","   16","R        ","T        ","     3","teacher ","     0","teacher ","other     ","GT3      ","       3","home      ","           3","          1","         2","yes        ","no      ","yes         ","no         ","no        ","         1","     1","     1","       4","        36","    52"
"199","F    ","   20","U        ","T        ","     2","at_home ","     3","services","father    ","GT3      ","       4","reputation","           1","          2","         3","yes        ","no      ","no          ","yes        ","yes       ","         1","     1","     1","       1","        27","    13"
"200","M    ","   19","R        ","A        ","     0","health  ","     2","teacher ","mother    ","LE3      ","       3","home      ","           3","          3","         3","yes        ","yes     ","yes         ","no         ","yes       ","         4","     4","     4","       2","        92","    74"
"201","F    ","   17","U        ","A        ","     0","other   ","     3","at_home ","other     ","GT3      ","       4","course    ","           2","          2","         1","no         ","no      ","yes         ","yes        ","no        ","         2","     3","     4","       2","        61","    38"
"202","F    ","   19","U        ","T        ","     0","teacher ","     1","health  ","other     ","LE3      ","       3","reputation","           2","          1","         2","yes        ","no      ","yes         ","yes        ","yes       ","         2","     1","     3","       1","        72","    38"
"203","F    ","   16","R        ","T        ","     0","teacher ","     1","other   ","father    ","LE3      ","       1","reputation","           3","          1","         3","yes        ","no      ","yes         ","no         ","yes       ","         1","     2","     4","       1","        36","    67"
"204","M    ","   17","R        ","A        ","     2","at_home ","     1","teacher ","mother    ","LE3      ","       2","home      ","           1","          2","         1","no         ","no      ","yes         ","no         ","no        ","         4","     4","     4","       1","        38","    67"
"205","F    ","   19","U        ","A        ","     0","health  ","     1","at_home ","father    ","GT3      ","       3","home      ","           2","          2","         3","yes        ","no      ","no          ","no         ","no        ","         3","     3","     3","       2","        63","    36"
"206","M    ","   18","U        ","A        ","     0","teacher ","     3","health  ","father    ","GT3      ","       1","home      ","           2","          3","         1","yes        ","no      ","no          ","yes        ","yes       ","         3","     2","     4","       1","         0","    66"
"207","M    ","   15","R        ","A        ","     0","services","     2","teacher ","other     ","LE3      ","       1","home      ","           2","          1","         1","yes        ","no      ","yes         ","no         ","yes       ","         3","     4","     1","       3","        68","    68"
"208","F    ","   17","R        ","A        ","     1","health  ","     1","other   ","other     ","GT3      ","       1","reputation","           3","          3","         3","yes        ","no      ","yes         ","no         ","yes       ","         2","     1","     1","       2","        70","    23"
"209","F    ","   17","U        ","T        ","     1","health  ","     1","services","other     ","GT3      ","       2","home      ","           1","          1","         1","yes        ","no      ","yes         ","yes        ","yes       ","         3","     3","     1","       3","        43","    13"
"210","M    ","   21","U        ","T        ","     3","services","     3","teacher ","father    ","GT3      ","       1","other     ","           1","          2","         1","no         ","yes     ","yes         ","no         ","yes       ","         2","     4","     4","       3","        20","    53"
"211","F    ","   17","U        ","A        ","     2","services","     1","at_home ","mother    ","LE3      ","       1","other     ","           2","          1","         2","no         ","yes     ","no          ","no         ","yes       ","         4","     3","     3","       4","        57","    86"
"212","M    ","   21","R        ","T        ","     3","teacher ","     1","at_home ","other     ","GT3      ","       3","course    ","           1","          1","         3","yes        ","yes     ","no          ","no         ","no        ","         4","     4","     2","       4","        53","    72"
"213","F    ","   20","U        ","A        ","     2","teacher ","     2","at_home ","mother    ","LE3      ","       3","other     ","           3","          3","         2","yes        ","no      ","yes         ","no         ","yes       ","         4","     3","     4","       3","        90","    94"
"214","M    ","   19","U        ","A        ","     0","teacher ","     3","services","mother    ","GT3      ","       4","home      ","           3","          3","         3","yes        ","yes     ","no          ","yes        ","yes       ","         1","     4","     1","       3","        36","    35"
"215","M    ","   20","R        ","T        ","     3","other   ","     2","services","other     ","LE3      ","       4","home      ","           1","          3","         2","no         ","no      ","yes         ","yes        ","no        ","         2","     4","     3","       1","        87","    20"
"216","F    ","   18","U        ","A        ","     2","at_home ","     1","at_home ","father    ","LE3      ","       3","course    ","           1","          1","         2","no         ","no      ","no          ","yes        ","yes       ","         2","     3","     4","       4","        65","    68"
"217","F    ","   18","R        ","T        ","     1","other   ","     0","health  ","father    ","LE3      ","       2","home      ","           3","          1","         2","no         ","no      ","no          ","no         ","yes       ","         1","     2","     4","       4","        26","     5"
"218","M    ","   18","U        ","T        ","     3","services","     3","other   ","father    ","GT3      ","       1","course    ","           1","          2","         3","no         ","no      ","no          ","yes        ","no        ","         3","     2","     3","       2","        75","    76"
"219","F    ","   21","U        ","A        ","     0","services","     2","at_home ","mother    ","LE3      ","       3","home      ","           3","          2","         3","yes        ","no      ","yes         ","no         ","no        ","         4","     4","     1","       4","         0","    57"
"220","M    ","   21","U        ","A        ","     0","services","     2","at_home ","other     ","LE3      ","       1","home      ","           3","          3","         2","no         ","yes     ","yes         ","no         ","no        ","         4","     1","     2","       1","        58","     1"
"221","M    ","   20","U        ","A        ","     2","services","     1","at_home ","father    ","LE3      ","       4","home      ","           3","          1","         3","no         ","no      ","yes         ","no         ","no        ","         3","     1","     1","       3","        56","    44"
"222","M    ","   17","U        ","A        ","     3","other   ","     2","teacher ","father    ","GT3      ","       3","course    ","           3","          2","         2","no         ","yes     ","yes         ","yes        ","yes       ","         2","     2","     3","       3","        78","    93"
"223","M    ","   18","U        ","A        ","     1","teacher ","     3","other   ","father    ","LE3      ","       3","other     ","           3","          1","         2","yes        ","no      ","no          ","yes        ","no        ","         2","     2","     3","       2","        75","    42"
"224","M    ","   18","R        ","T        ","     1","other   ","     1","services","father    ","LE3      ","       3","course    ","           3","          1","         2","yes        ","no      ","yes         ","no         ","yes       ","         1","     2","     4","       4","         0","    92"
"225","F    ","   20","R        ","A        ","     0","health  ","     3","at_home ","other     ","GT3      ","       1","other     ","           2","          2","         2","no         ","no      ","yes         ","no         ","no        ","         2","     3","     4","       4","        82","    69"
"226","F    ","   17","U        ","A        ","     3","health  ","     0","health  ","other     ","LE3      ","       4","home      ","           1","          3","         1","no         ","no      ","yes         ","yes        ","yes       ","         2","     4","     3","       3","        75","    54"
"227","M    ","   17","R        ","T        ","     0","teacher ","     1","teacher ","father    ","LE3      ","       4","other     ","           3","          3","         2","yes        ","yes     ","yes         ","no         ","yes       ","         3","     1","     4","       4","        14","    50"
"228","F    ","   21","U        ","T        ","     1","at_home ","     1","health  ","father    ","GT3      ","       1","other     ","           1","          2","         3","yes        ","no      ","yes         ","no         ","yes       ","         3","     1","     4","       3","        28","    77"
"229","M    ","   16","U        ","T        ","     0","teacher ","     0","services","mother    ","LE3      ","       4","other     ","           2","          1","         2","yes        ","no      ","yes         ","no         ","no        ","         2","     2","     4","       3","        28","    57"
"230","F    ","   21","R        ","A        ","     1","at_home ","     0","other   ","other     ","LE3      ","       2","other     ","           3","          3","         1","no         ","yes     ","yes         ","no         ","yes       ","         1","     2","     3","       1","        29","    96"
"231","M    ","   21","R        ","A        ","     3","services","     3","other   ","mother    ","LE3      ","       2","course    ","           1","          2","         2","yes        ","yes     ","yes         ","yes        ","no        ","         3","     3","     3","       1","        57","    80"
"232","M    ","   21","U        ","T        ","     1","teacher ","     3","at_home ","mother    ","LE3      ","       4","reputation","           3","          3","         1","no         ","yes     ","no          ","no         ","no        ","         3","     1","     3","       3","        58","    31"
"233","M    ","   19","U        ","T        ","     0","teacher ","     1","teacher ","mother    ","GT3      ","       4","home      ","           3","          1","         2","no         ","yes     ","yes         ","yes        ","yes       ","         1","     3","     1","       1","        35","     2"
"234","F    ","   16","U        ","A        ","     3","at_home ","     3","teacher ","father    ","GT3      ","       1","course    ","           1","          1","         1","no         ","yes     ","no          ","no         ","no        ","         1","     3","     4","       3","        20","     3"
"235","F    ","   19","U        ","T        ","     1","services","     0","other   ","mother    ","GT3      ","       2","reputation","           2","          1","         1","no         ","no      ","yes         ","no         ","yes       ","         1","     3","     2","       1","        34","    40"
"236","F    ","   16","R        ","A        ","     2","other   ","     0","services","other     ","LE3      ","       1","course    ","           1","          3","         3","no         ","no      ","yes         ","no         ","no        ","         4","     2","     3","       1","        54","    91"
"237","M    ","   20","R        ","T        ","     0","health  ","     3","other   ","father    ","GT3      ","       2","other     ","           2","          3","         3","no         ","yes     ","yes         ","no         ","yes       ","         2","     4","     1","       3","        24","    68"
"238","M    ","   19","R        ","T        ","     1","services","     1","other   ","other     ","GT3      ","       3","other     ","           1","          3","         2","no         ","yes     ","yes         ","yes        ","yes       ","         3","     2","     4","       3","        41","    32"
"239","F    ","   19","U        ","A        ","     2","teacher ","     3","teacher ","other     ","GT3      ","       4","other     ","           3","          2","         2","yes        ","yes     ","yes         ","yes        ","no        ","         1","     4","     1","       2","        10","    92"
"240","M    ","   19","U        ","A        ","     1","health  ","     0","at_home ","other     ","GT3      ","       2","other     ","           1","          3","         2","yes        ","no      ","no          ","yes        ","yes       ","         2","     4","     3","       2","        66","     9"
"241","F    ","   20","U        ","T        ","     0","at_home ","     1","at_home ","father    ","LE3      ","       3","home      ","           1","          2","         2","no         ","yes     ","no          ","no         ","no        ","         1","     2","     4","       1","        68","    19"
"242","M    ","   21","U        ","T        ","     2","other   ","     3","teacher ","father    ","LE3      ","       4","other     ","           2","          1","         3","no         ","no      ","no          ","yes        ","no        ","         2","     4","     1","       2","        35","    98"
"243","M    ","   18","U        ","A        ","     3","teacher ","     1","health  ","father    ","LE3      ","       1","reputation","           1","          1","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     4","     4","       3","        21","    31"
"244","F    ","   16","R        ","A        ","     1","other   ","     2","health  ","other     ","LE3      ","       3","course    ","           3","          1","         1","no         ","no      ","yes         ","yes        ","yes       ","         2","     3","     3","       3","         5","    18"
"245","M    ","   20","U        ","A        ","     0","services","     2","services","other     ","GT3      ","       3","course    ","           1","          3","         2","no         ","yes     ","yes         ","no         ","yes       ","         1","     3","     3","       3","        27","    67"
"246","M    ","   18","U        ","T        ","     0","teacher ","     1","at_home ","father    ","LE3      ","       3","home      ","           1","          1","         1","no         ","yes     ","no          ","no         ","no        ","         3","     3","     2","       3","        83","    89"
"247","F    ","   19","U        ","A        ","     2","teacher ","     1","at_home ","father    ","LE3      ","       2","course    ","           2","          1","         3","no         ","no      ","yes         ","yes        ","no        ","         1","     1","     1","       3","        59","    12"
"248","F    ","   15","U        ","T        ","     2","services","     1","at_home ","mother    ","GT3      ","       1","course    ","           3","          1","         1","no         ","no      ","no          ","yes        ","yes       ","         3","     4","     1","       2","        86","    33"
"249","M    ","   15","U        ","T        ","     1","health  ","     3","health  ","other     ","GT3      ","       3","course    ","           3","          3","         2","yes        ","no      ","yes         ","no         ","no        ","         1","     3","     1","       2","        52","    72"
"250","F    ","   16","R        ","T        ","     3","at_home ","     1","at_home ","other     ","GT3      ","       2","home      ","           1","          3","         2","no         ","yes     ","no          ","yes        ","no        ","         2","     2","     1","       1","        20","    20"
"251","F    ","   19","R        ","A        ","     2","health  ","     3","at_home ","other     ","LE3      ","       3","other     ","           1","          3","         3","no         ","no      ","no          ","no         ","no        ","         2","     2","     2","       2","        30","     7"
"252","M    ","   16","R        ","A        ","     0","teacher ","     2","services","mother    ","GT3      ","       4","other     ","           2","          3","         2","yes        ","yes     ","yes         ","yes        ","yes       ","         3","     1","     2","       2","        91","    21"
"253","F    ","   16","U        ","T        ","     0","services","     2","health  ","mother    ","GT3      ","       4","course    ","           1","          1","         3","yes        ","yes     ","yes         ","no         ","no        ","         2","     2","     1","       1","        35","     5"
"254","M    ","   15","R        ","A        ","     0","health  ","     3","teacher ","mother    ","LE3      ","       3","reputation","           1","          1","         1","yes        ","no      ","no          ","no         ","yes       ","         4","     2","     3","       1","        74","    55"
"255","F    ","   19","R        ","A        ","     1","health  ","     0","other   ","mother    ","LE3      ","       2","course    ","           2","          2","         3","yes        ","yes     ","yes         ","no         ","yes       ","         1","     1","     1","       2","        64","    92"
"256","M    ","   20","U        ","A        ","     2","health  ","     2","health  ","mother    ","GT3      ","       2","course    ","           3","          1","         3","yes        ","yes     ","no          ","yes        ","no        ","         3","     3","     2","       2","        10","    61"
"257","F    ","   20","R        ","T        ","     1","health  ","     3","teacher ","father    ","GT3      ","       2","course    ","           2","          2","         1","no         ","no      ","no          ","no         ","yes       ","         4","     2","     4","       3","        56","    76"
"258","F    ","   21","R        ","T        ","     3","services","     1","services","other     ","LE3      ","       1","other     ","           2","          1","         3","no         ","no      ","yes         ","yes        ","yes       ","         1","     1","     3","       1","        37","    92"
"259","F    ","   21","R        ","A        ","     0","at_home ","     3","at_home ","father    ","GT3      ","       4","course    ","           3","          1","         1","no         ","no      ","yes         ","yes        ","yes       ","         2","     4","     3","       3","        53","    57"
"260","F    ","   20","U        ","A        ","     0","at_home ","     3","services","other     ","LE3      ","       4","other     ","           1","          1","         1","no         ","no      ","no          ","yes        ","no        ","         2","     2","     2","       2","        22","    99"
"261","M    ","   18","R        ","A        ","     2","at_home ","     1","other   ","mother    ","GT3      ","       3","home      ","           1","          3","         3","no         ","yes     ","yes         ","yes        ","no        ","         4","     1","     2","       2","        23","     1"
"262","M    ","   20","R        ","A        ","     0","at_home ","     3","other   ","other     ","LE3      ","       2","other     ","           3","          1","         1","no         ","yes     ","yes         ","yes        ","no        ","         4","     3","     4","       1","        54","    78"
"263","F    ","   17","R        ","A        ","     2","health  ","     3","services","mother    ","GT3      ","       3","reputation","           3","          1","         3","no         ","yes     ","yes         ","yes        ","yes       ","         1","     4","     2","       2","        64","    99"
"264","M    ","   16","U        ","T        ","     0","teacher ","     3","at_home ","father    ","LE3      ","       2","reputation","           1","          3","         1","no         ","yes     ","no          ","no         ","no        ","         4","     2","     3","       4","        75","    93"
"265","F    ","   16","U        ","T        ","     3","health  ","     1","teacher ","father    ","LE3      ","       1","reputation","           3","          3","         1","no         ","yes     ","yes         ","no         ","yes       ","         3","     3","     4","       4","        85","    98"
"266","F    ","   16","U        ","T        ","     2","health  ","     2","at_home ","father    ","GT3      ","       3","other     ","           2","          2","         2","no         ","yes     ","no          ","no         ","yes       ","         1","     2","     4","       3","        53","    75"
"267","F    ","   17","U        ","A        ","     0","other   ","     3","other   ","other     ","GT3      ","       4","home      ","           2","          1","         2","yes        ","no      ","yes         ","no         ","yes       ","         1","     1","     2","       1","        24","    51"
"268","M    ","   20","R        ","A        ","     0","health  ","     3","at_home ","father    ","LE3      ","       4","course    ","           3","          1","         2","yes        ","no      ","yes         ","no         ","no        ","         1","     3","     3","       3","        84","    56"
"269","M    ","   21","U        ","T        ","     0","at_home ","     3","health  ","other     ","GT3      ","       3","home      ","           2","          2","         2","no         ","no      ","yes         ","yes        ","yes       ","         2","     3","     4","       4","        44","    53"
"270","M    ","   19","R        ","A        ","     1","teacher ","     1","at_home ","father    ","LE3      ","       4","home      ","           3","          2","         2","no         ","yes     ","yes         ","yes        ","yes       ","         3","     1","     2","       3","        76","    17"
"271","M    ","   16","R        ","A        ","     1","at_home ","     2","at_home ","mother    ","LE3      ","       2","home      ","           2","          3","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     4","     4","       1","        29","    93"
"272","F    ","   17","R        ","A        ","     0","at_home ","     2","health  ","father    ","LE3      ","       4","course    ","           2","          2","         2","no         ","no      ","no          ","yes        ","yes       ","         2","     4","     1","       3","        72","    66"
"273","M    ","   20","R        ","A        ","     3","teacher ","     3","services","father    ","GT3      ","       4","home      ","           2","          2","         3","yes        ","yes     ","no          ","no         ","yes       ","         2","     1","     2","       2","        41","    90"
"274","M    ","   19","R        ","T        ","     2","other   ","     2","health  ","father    ","GT3      ","       1","reputation","           1","          1","         2","yes        ","yes     ","no          ","yes        ","yes       ","         2","     3","     4","       1","        16","    82"
"275","F    ","   20","U        ","A        ","     2","teacher ","     1","other   ","mother    ","GT3      ","       3","reputation","           1","          2","         1","no         ","no      ","yes         ","no         ","no        ","         2","     1","     3","       1","        89","    18"
"276","M    ","   16","R        ","T        ","     2","services","     3","at_home ","other     ","GT3      ","       1","reputation","           3","          3","         3","yes        ","yes     ","no          ","yes        ","yes       ","         1","     1","     4","       2","        44","    75"
"277","F    ","   17","R        ","T        ","     0","teacher ","     2","services","mother    ","GT3      ","       3","reputation","           1","          1","         3","no         ","yes     ","yes         ","no         ","yes       ","         4","     4","     3","       4","        80","    49"
"278","F    ","   20","R        ","T        ","     3","health  ","     2","at_home ","other     ","GT3      ","       1","other     ","           2","          3","         3","yes        ","yes     ","no          ","yes        ","yes       ","         3","     2","     4","       1","        85","     9"
"279","M    ","   21","U        ","A        ","     1","services","     2","teacher ","father    ","LE3      ","       2","other     ","           1","          2","         3","yes        ","no      ","yes         ","yes        ","yes       ","         3","     1","     3","       2","        61","    94"
"280","F    ","   19","U        ","T        ","     2","health  ","     0","health  ","other     ","LE3      ","       2","reputation","           1","          3","         2","yes        ","yes     ","yes         ","yes        ","no        ","         1","     4","     1","       4","        32","    91"
"281","M    ","   19","R        ","A        ","     3","health  ","     3","at_home ","mother    ","LE3      ","       4","reputation","           3","          2","         2","no         ","yes     ","yes         ","yes        ","no        ","         2","     1","     4","       1","        76","     7"
"282","F    ","   19","R        ","A        ","     1","health  ","     0","at_home ","other     ","GT3      ","       3","course    ","           2","          1","         1","no         ","yes     ","yes         ","no         ","no        ","         2","     1","     1","       2","        19","    79"
"283","M    ","   18","R        ","T        ","     2","teacher ","     2","other   ","mother    ","LE3      ","       4","course    ","           2","          2","         2","yes        ","yes     ","yes         ","yes        ","no        ","         1","     4","     3","       2","        26","    73"
"284","M    ","   18","U        ","A        ","     3","health  ","     1","at_home ","father    ","GT3      ","       3","other     ","           3","          2","         1","yes        ","yes     ","no          ","no         ","yes       ","         1","     1","     4","       2","        44","    66"
"285","F    ","   19","R        ","T        ","     0","other   ","     1","services","mother    ","LE3      ","       3","course    ","           3","          2","         2","yes        ","yes     ","no          ","yes        ","yes       ","         2","     3","     3","       2","        59","    74"
"286","F    ","   21","R        ","A        ","     0","other   ","     3","teacher ","father    ","GT3      ","       1","other     ","           2","          1","         3","yes        ","yes     ","yes         ","yes        ","no        ","         4","     3","     1","       2","        10","    93"
"287","F    ","   21","R        ","A        ","     3","other   ","     0","other   ","other     ","GT3      ","       4","course    ","           2","          1","         1","no         ","no      ","yes         ","no         ","no        ","         4","     2","     2","       3","        25","    48"
"288","F    ","   17","U        ","T        ","     0","teacher ","     3","services","mother    ","GT3      ","       3","other     ","           2","          2","         1","yes        ","yes     ","no          ","no         ","yes       ","         1","     3","     1","       3","        19","     2"
"289","F    ","   15","U        ","A        ","     0","health  ","     0","health  ","father    ","GT3      ","       4","other     ","           3","          1","         1","no         ","yes     ","no          ","yes        ","no        ","         4","     3","     4","       2","         1","    66"
"290","M    ","   17","U        ","A        ","     1","teacher ","     3","at_home ","mother    ","LE3      ","       3","home      ","           3","          3","         3","yes        ","yes     ","yes         ","no         ","no        ","         3","     2","     1","       3","        21","    50"
"291","M    ","   16","R        ","A        ","     1","other   ","     1","services","father    ","LE3      ","       4","home      ","           1","          1","         1","no         ","no      ","no          ","no         ","no        ","         4","     1","     2","       2","        71","     3"
"292","F    ","   18","R        ","T        ","     3","health  ","     2","health  ","other     ","LE3      ","       1","home      ","           1","          2","         2","no         ","yes     ","yes         ","no         ","no        ","         3","     4","     2","       4","        61","    83"
"293","M    ","   16","U        ","T        ","     1","services","     3","other   ","other     ","GT3      ","       4","home      ","           3","          2","         2","yes        ","no      ","yes         ","no         ","no        ","         1","     4","     4","       2","        27","    64"
